Namespace(batch_size=36, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', lr=0.001, momentum=0.9, no_cuda=False, num_points=1024, seed=1029, test_batch_size=2, use_sgd=True)
Using GPU : 0 in 1 devices
Train 0, loss: 3.414308, train acc: 0.171958, train avg acc: 0.077117
Test 0, loss: 3.087843, test acc: 0.219611, test avg acc: 0.135500
Train 1, loss: 3.108795, train acc: 0.243997, train avg acc: 0.105335
Test 1, loss: 3.104563, test acc: 0.158023, test avg acc: 0.097500
Train 2, loss: 3.038371, train acc: 0.273403, train avg acc: 0.123652
Test 2, loss: 3.014401, test acc: 0.220016, test avg acc: 0.139750
Train 3, loss: 2.980430, train acc: 0.293549, train avg acc: 0.138706
Test 3, loss: 3.048120, test acc: 0.192464, test avg acc: 0.131750
Train 4, loss: 2.942700, train acc: 0.303215, train avg acc: 0.148849
Test 4, loss: 2.926812, test acc: 0.157212, test avg acc: 0.110000
Train 5, loss: 2.879107, train acc: 0.339947, train avg acc: 0.172627
Test 5, loss: 2.754880, test acc: 0.246353, test avg acc: 0.154000
Train 6, loss: 2.734689, train acc: 0.398657, train avg acc: 0.209332
Test 6, loss: 2.426806, test acc: 0.390600, test avg acc: 0.281366
Train 7, loss: 2.624951, train acc: 0.442816, train avg acc: 0.253827
Test 7, loss: 2.539659, test acc: 0.470827, test avg acc: 0.337291
Train 8, loss: 2.536126, train acc: 0.477920, train avg acc: 0.285811
Test 8, loss: 2.517243, test acc: 0.421799, test avg acc: 0.322820
Train 9, loss: 2.472665, train acc: 0.504070, train avg acc: 0.319156
Test 9, loss: 2.529687, test acc: 0.567261, test avg acc: 0.442093
Train 10, loss: 2.390036, train acc: 0.540497, train avg acc: 0.353501
Test 10, loss: 2.194107, test acc: 0.606564, test avg acc: 0.492977
Train 11, loss: 2.330325, train acc: 0.566545, train avg acc: 0.384158
Test 11, loss: 2.074727, test acc: 0.586710, test avg acc: 0.456930
Train 12, loss: 2.279057, train acc: 0.595035, train avg acc: 0.418694
Test 12, loss: 2.367147, test acc: 0.640194, test avg acc: 0.518314
Train 13, loss: 2.224218, train acc: 0.616097, train avg acc: 0.445690
Test 13, loss: 2.271276, test acc: 0.661669, test avg acc: 0.526151
Train 14, loss: 2.196071, train acc: 0.628307, train avg acc: 0.456762
Test 14, loss: 2.100169, test acc: 0.683549, test avg acc: 0.595012
Train 15, loss: 2.153457, train acc: 0.645706, train avg acc: 0.481362
Test 15, loss: 2.129895, test acc: 0.674230, test avg acc: 0.571209
Train 16, loss: 2.126449, train acc: 0.662902, train avg acc: 0.501550
Test 16, loss: 2.219504, test acc: 0.733793, test avg acc: 0.608948
Train 17, loss: 2.083526, train acc: 0.675112, train avg acc: 0.516137
Test 17, loss: 2.355040, test acc: 0.741086, test avg acc: 0.626907
Train 18, loss: 2.072412, train acc: 0.680505, train avg acc: 0.527452
Test 18, loss: 2.120054, test acc: 0.707861, test avg acc: 0.604233
Train 19, loss: 2.039067, train acc: 0.698107, train avg acc: 0.550709
Test 19, loss: 1.816164, test acc: 0.749595, test avg acc: 0.622279
Train 20, loss: 2.029016, train acc: 0.697599, train avg acc: 0.549465
Test 20, loss: 2.036222, test acc: 0.780794, test avg acc: 0.691587
Train 21, loss: 2.018062, train acc: 0.704314, train avg acc: 0.557350
Test 21, loss: 2.137778, test acc: 0.731361, test avg acc: 0.581110
Train 22, loss: 1.991875, train acc: 0.718864, train avg acc: 0.579209
Test 22, loss: 1.954009, test acc: 0.728930, test avg acc: 0.623308
Train 23, loss: 1.970759, train acc: 0.727615, train avg acc: 0.590069
Test 23, loss: 1.869611, test acc: 0.792139, test avg acc: 0.683349
Train 24, loss: 1.956946, train acc: 0.738095, train avg acc: 0.601483
Test 24, loss: 1.900447, test acc: 0.804295, test avg acc: 0.704023
Train 25, loss: 1.956961, train acc: 0.732194, train avg acc: 0.599044
Test 25, loss: 2.033058, test acc: 0.802269, test avg acc: 0.695081
Train 26, loss: 1.944415, train acc: 0.741148, train avg acc: 0.611660
Test 26, loss: 2.011534, test acc: 0.811994, test avg acc: 0.718965
Train 27, loss: 1.924573, train acc: 0.748575, train avg acc: 0.626069
Test 27, loss: 1.832859, test acc: 0.795786, test avg acc: 0.675134
Train 28, loss: 1.923490, train acc: 0.747863, train avg acc: 0.619785
Test 28, loss: 1.867751, test acc: 0.803079, test avg acc: 0.680093
Train 29, loss: 1.905228, train acc: 0.757835, train avg acc: 0.631389
Test 29, loss: 1.941323, test acc: 0.786467, test avg acc: 0.669506
Train 30, loss: 1.897464, train acc: 0.760684, train avg acc: 0.641564
Test 30, loss: 2.060842, test acc: 0.786062, test avg acc: 0.696308
Train 31, loss: 1.887815, train acc: 0.763736, train avg acc: 0.646365
Test 31, loss: 1.815038, test acc: 0.817261, test avg acc: 0.717814
Train 32, loss: 1.878537, train acc: 0.766789, train avg acc: 0.649601
Test 32, loss: 2.053511, test acc: 0.814830, test avg acc: 0.719151
Train 33, loss: 1.872119, train acc: 0.775438, train avg acc: 0.664305
Test 33, loss: 1.852886, test acc: 0.818882, test avg acc: 0.706465
Train 34, loss: 1.868996, train acc: 0.767705, train avg acc: 0.649954
Test 34, loss: 1.880404, test acc: 0.809562, test avg acc: 0.731128
Train 35, loss: 1.872251, train acc: 0.767603, train avg acc: 0.652378
Test 35, loss: 2.083329, test acc: 0.803890, test avg acc: 0.717773
Train 36, loss: 1.849486, train acc: 0.780525, train avg acc: 0.666819
Test 36, loss: 1.590902, test acc: 0.798217, test avg acc: 0.719959
Train 37, loss: 1.847108, train acc: 0.778897, train avg acc: 0.667705
Test 37, loss: 1.834393, test acc: 0.826580, test avg acc: 0.733087
